CRN,latitude,longitude,year,month,hour,day,weather,road_cond,light_cond,severity
2024000068,40.064127,-75.40595,2024,1,,2,3.0,1,,0
2024000156,39.730636,-77.540472,2024,1,,2,7.0,9,,0
2024000173,40.178761,-75.205958,2024,1,,2,3.0,1,,4
2024000426,41.018305,-76.186638,2024,1,,2,3.0,1,,0
2024000427,40.87272,-76.524164,2024,1,,3,3.0,1,,0
2024000435,41.035272,-76.33659,2024,1,,3,3.0,1,,0
2024000463,39.936541,-75.381836,2024,1,,4,3.0,1,,0
2024001084,39.924106,-77.637463,2024,1,,4,3.0,1,,0
2024001092,41.209138,-79.11421,2024,1,,3,3.0,1,,0
2024001094,41.071953,-75.426655,2024,1,,3,3.0,1,,0
2024001105,40.165824,-77.238697,2024,1,,3,3.0,1,,0
2024001212,40.320684,-80.214618,2024,1,,4,3.0,1,,0
2024001230,40.289029,-76.670539,2024,1,,3,3.0,1,,0
2024001253,40.086707,-75.691574,2024,1,,4,3.0,1,,4
2024001257,41.21356,-75.931752,2024,1,,5,3.0,1,,0
2024001341,40.306852,-75.875608,2024,1,,4,3.0,1,,0
2024001362,40.156947,-76.264411,2024,1,,4,3.0,1,,0
2024001509,40.929008,-76.843904,2024,1,,5,3.0,1,,0
2024001522,40.295485,-76.002687,2024,1,,5,3.0,1,,0
2024001722,40.223697,-75.514015,2024,1,,6,3.0,1,,0
2024001723,40.584646,-80.042606,2024,1,,6,3.0,1,,0
2024001726,39.932023,-75.359082,2024,1,,6,3.0,1,,0
2024001782,40.40332,-79.571849,2024,1,,4,3.0,1,,0
2024001787,40.277875,-79.947926,2024,1,,4,3.0,1,,0
2024001806,40.701463,-79.327204,2024,1,,3,3.0,1,,0
2024001807,40.451934,-76.432411,2024,1,,3,3.0,1,,3
2024001810,40.287921,-76.074763,2024,1,,5,3.0,1,,0
2024001914,41.159319,-77.346677,2024,1,,6,3.0,1,,0
2024002423,40.506898,-77.406061,2024,1,,6,3.0,1,,4
2024002472,40.821943,-80.123983,2024,1,,1,3.0,9,,8
2024002532,42.005752,-80.007738,2024,1,,6,4.0,1,,0
2024002538,40.045366,-78.794828,2024,1,,6,3.0,1,,0
2024002539,40.282662,-79.406196,2024,1,,6,3.0,1,,0
2024002594,41.923326,-79.985408,2024,1,,3,3.0,1,,3
2024002595,39.956133,-77.570556,2024,1,,3,3.0,1,,3
2024002624,40.301278,-75.587639,2024,1,,2,3.0,9,,0
2024002653,41.930037,-80.174724,2024,1,,7,3.0,1,,0
2024002701,40.004356,-75.391814,2024,1,,5,3.0,1,,3
2024002791,40.104739,-75.320468,2024,1,,4,3.0,1,,0
2024002808,41.128974,-75.327663,2024,1,,7,3.0,1,,0
2024002876,40.989306,-76.623081,2024,1,,1,4.0,1,,0
2024002879,39.896276,-79.789523,2024,1,,2,3.0,1,,0
2024002880,41.120253,-76.795534,2024,1,,2,3.0,9,,0
2024002919,40.307963,-75.902866,2024,1,,7,3.0,1,,0
2024003060,41.157015,-75.281374,2024,1,,5,3.0,1,,0
2024003145,40.85716,-75.997041,2024,1,,6,3.0,1,,0
2024003171,41.951238,-80.225081,2024,1,,2,3.0,9,,0
2024003172,40.425273,-80.431754,2024,1,,2,3.0,1,,0
2024003295,40.436998,-75.942593,2024,1,,2,3.0,9,,0
2024003320,40.070327,-76.316236,2024,1,,5,3.0,1,,0
2024003468,41.192163,-75.082141,2024,1,,4,3.0,1,,0
2024003524,42.023742,-80.054917,2024,1,,2,3.0,9,,3
2024003698,41.452698,-79.903173,2024,1,,2,3.0,1,,0
2024003828,39.742224,-77.493097,2024,1,,3,7.0,9,,0
2024003905,39.934152,-79.778344,2024,1,,5,2.0,9,,0
2024003940,40.574494,-79.787123,2024,1,,2,3.0,1,,0
2024004001,40.003758,-76.413652,2024,1,,1,3.0,1,,0
2024004206,41.084628,-76.090631,2024,1,,1,3.0,9,,3
2024004207,40.529685,-76.824432,2024,1,,2,3.0,1,,0
2024004213,41.244005,-79.487451,2024,1,,3,3.0,1,,0
2024004381,39.929553,-75.401306,2024,1,,5,3.0,1,,0
2024004455,41.233165,-79.430275,2024,1,,2,3.0,1,,0
2024004473,41.183831,-78.774984,2024,1,,5,3.0,1,,0
2024004714,41.109599,-78.721298,2024,1,,3,3.0,9,,3
2024004772,42.05841,-80.241986,2024,1,,4,3.0,9,,0
2024004803,41.345934,-79.713064,2024,1,,5,3.0,9,,0
2024004812,39.824525,-79.593715,2024,1,,2,10.0,9,,0
2024004877,40.491063,-79.87644,2024,1,,4,3.0,1,,0
2024004901,41.311408,-76.192491,2024,1,,3,3.0,1,,0
2024004910,40.421047,-80.318133,2024,1,,4,3.0,9,,0
2024004932,40.628518,-80.017322,2024,1,,2,3.0,1,,0
2024004956,40.066175,-75.457828,2024,1,,7,3.0,1,,0
2024005025,40.489917,-76.551123,2024,1,,7,7.0,9,,0
2024005026,40.035696,-78.56906,2024,1,,7,7.0,9,,8
2024005036,40.919012,-76.745214,2024,1,,7,7.0,9,,0
2024005039,40.790653,-76.491973,2024,1,,7,3.0,1,,0
2024005073,40.083206,-77.049547,2024,1,,1,3.0,1,,0
2024005075,40.166936,-76.887348,2024,1,,5,3.0,1,,0
2024005216,41.205474,-75.793416,2024,1,,4,3.0,1,,0
2024005222,41.051474,-76.850194,2024,1,,1,3.0,1,,0
2024005342,40.190756,-79.570328,2024,1,,5,3.0,1,,0
